# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
6732.7 0.00000 0.00000 0.00000
6776.0 0.00000 0.00000 0.00000
6819.4 0.00000 0.00000 0.00000
6862.7 0.00000 0.00000 0.00000
6906.0 0.00000 0.00000 0.00000
6949.3 0.00000 0.00000 0.00000
6992.7 0.00000 0.00000 0.00000
7036.0 0.00000 0.00000 0.00000
7079.3 0.00000 0.00000 0.00000
7122.6 0.00000 0.00000 0.00000
7166.0 0.00000 0.00000 0.00000
7209.3 0.00000 0.00000 0.00000
7252.6 0.00000 0.00000 0.00000
7295.9 0.00000 0.00000 0.00000
7339.3 0.00000 0.00000 0.00000
7382.6 0.00000 0.00000 0.00000
7425.9 0.00000 0.00000 0.00000
7469.2 0.00000 0.00000 0.00000
7512.6 0.00000 0.00000 0.00000
7555.9 0.00000 0.00000 0.00000
7599.2 0.00000 0.00000 0.00000
7642.5 0.00000 0.00000 0.00000
7685.9 0.00000 0.00000 0.00000
7729.2 0.00000 0.00000 0.00000
7772.5 0.00000 0.00000 0.00000
7815.8 0.00000 0.00000 0.00000
7859.2 0.00000 0.00000 0.00000
7902.5 0.00000 0.00000 0.00000
7945.8 0.00000 0.00000 0.00000
7989.1 0.00000 0.00000 0.00000
8032.5 0.00000 0.00000 0.00000
8075.8 0.00000 0.00000 0.00000
8119.1 0.00000 0.00000 0.00000
8162.4 0.00000 0.00000 0.00000
8205.8 0.00000 0.00000 0.00000
8249.1 0.00000 0.00000 0.00000
8292.4 0.00000 0.00000 0.00000
8335.7 0.00000 0.00000 0.00000
8379.1 0.00000 0.00000 0.00000
8422.4 0.00000 0.00000 0.00000
8465.7 0.00000 0.00000 0.00000
8509.0 0.00000 0.00000 0.00000
8552.4 0.00000 0.00000 0.00000
8595.7 0.00000 0.00000 0.00000
8639.0 0.00000 0.00000 0.00000
8682.3 0.00000 0.00000 0.00000
8725.7 0.00000 0.00000 0.00000
8769.0 0.00000 0.00000 0.00000
8812.3 0.00000 0.00000 0.00000
8855.6 0.00000 0.00000 0.00000
8899.0 0.00000 0.00000 0.00000
8942.3 0.00000 0.00000 0.00000
8985.6 0.00000 0.00000 0.00000
9028.9 0.00000 0.00000 0.00000
9072.3 0.00000 0.00000 0.00000
9115.6 0.00000 0.00000 0.00000
9158.9 0.00000 0.00000 0.00000
9202.2 0.00000 0.00000 0.00000
9245.6 0.00000 0.00000 0.00000
9288.9 0.00000 0.00000 0.00000
9332.2 0.00000 0.00000 0.00000
9375.5 0.00000 0.00000 0.00000
9418.9 0.00000 0.00000 0.00000
9462.2 0.00000 0.00000 0.00000
9505.5 0.00000 0.00000 0.00000
9548.8 0.00000 0.00000 0.00000
9592.2 0.00000 0.00000 0.00000
9635.5 0.00000 0.00000 0.00000
9678.8 0.00000 0.00000 0.00000
9722.1 0.00000 0.00000 0.00000
9765.5 0.00000 0.00000 0.00000
9808.8 0.00000 0.00000 0.00000
9852.1 0.00000 0.00000 0.00000
9895.4 0.00000 0.00000 0.00000
9938.8 0.00000 0.00000 0.00000
9982.1 0.00000 0.00000 0.00000
10025.4 0.00000 0.00000 0.00000
10068.7 0.00000 0.00000 0.00000
10112.1 0.00000 0.00000 0.00000
10155.4 0.00000 0.00000 0.00000
10198.7 0.00000 0.00000 0.00000
10242.0 0.00000 0.00000 0.00000
10285.4 0.00000 0.00000 0.00000
10328.7 0.00000 0.00000 0.00000
10372.0 0.00000 0.00000 0.00000
10415.3 0.00000 0.00000 0.00000
10458.7 0.00000 0.00000 0.00000
10502.0 0.00000 0.00000 0.00000
10545.3 2.20822 2.45059 2.65255
10588.6 1.97562 2.19554 2.38166
10632.0 1.98807 2.20813 2.39431
10675.3 1.32282 1.46257 1.57973
10718.6 1.33081 1.47061 1.58796
10761.9 1.09279 1.18030 1.26315
10805.3 1.09932 1.18679 1.26949
10848.6 0.53677 0.57963 0.61735
10891.9 0.53983 0.58259 0.62032
10935.2 0.34487 0.36883 0.39058
10978.6 0.34679 0.37069 0.39237
11021.9 0.26806 0.28317 0.29979
11065.2 0.26940 0.28454 0.30112
11108.5 0.24983 0.26340 0.27769
11151.9 0.25102 0.26470 0.27887
